ind_ID	father_ID	mother_ID	Sex	Phenotype
1	1001	2001	9	8.55840132537364
2	1002	2002	9	9.974856295720084
3	1003	2003	9	9.904826841421645
4	1004	2004	9	11.380282907874571
5	1005	2005	9	9.017912531442157
6	1006	2006	9	10.586709553645477
7	1007	2007	9	10.978131068953422
8	1008	2008	9	9.960532925264618
9	1009	2009	9	10.261994321001835
10	1010	2010	9	10.521042445137537
11	1011	2011	9	11.730514604125641
12	1012	2012	9	10.394412885545472
13	1013	2013	9	10.340030797660177
14	1014	2014	9	9.922913481325809
15	1015	2015	9	8.890853904626812
16	1016	2016	9	9.216266741791559
17	1017	2017	9	10.249933256452731
18	1018	2018	9	9.815715648694358
19	1019	2019	9	9.558315253252111
20	1020	2020	9	12.799040935370034
21	1021	2021	9	9.760632136960686
22	1022	2022	9	10.36571311726908
23	1023	2023	9	8.335285336919254
24	1024	2024	9	10.646351336930262
25	1025	2025	9	10.685985773268888
26	1026	2026	9	9.222156987144105
27	1027	2027	9	9.82164492235599
28	1028	2028	9	11.708939646039743
29	1029	2029	9	10.169145096651059
30	1030	2030	9	10.927701163823299
31	1031	2031	9	11.053014192951588
32	1032	2032	9	11.57598085267493
33	1033	2033	9	8.856618862419086
34	1034	2034	9	10.065578223487659
35	1035	2035	9	8.842981585667205
36	1036	2036	9	9.238439128421225
37	1037	2037	9	10.064962305506702
38	1038	2038	9	9.38108098925847
39	1039	2039	9	10.734269828158036
40	1040	2040	9	9.904298886988272
41	1041	2041	9	10.822011188538866
42	1042	2042	9	10.115890912087075
43	1043	2043	9	9.586703487142756
44	1044	2044	9	9.146157767612724
45	1045	2045	9	10.465144665966056
46	1046	2046	9	10.103694682782235
47	1047	2047	9	9.740376894876096
48	1048	2048	9	9.967154799836115
49	1049	2049	9	11.333363002015385
50	1050	2050	9	10.578718670383912
51	1051	2051	9	11.069759017219505
52	1052	2052	9	10.498756383509365
53	1053	2053	9	9.833182079925407
54	1054	2054	9	11.188989528450227
55	1055	2055	9	9.649480749078812
